Sequence id,Meter,Date in meter,Connection Status
967376587,00100467,10-02-2016 05:47,Connected
967419043,00100467,10-02-2016 06:05,Disconnected
967427759,00100467,10-02-2016 06:08,Connected
967873007,00100467,10-02-2016 08:41,Connected
967873003,00100467,10-02-2016 08:41,Disconnected
968158287,00100467,10-02-2016 10:11,Connected
968158275,00100467,10-02-2016 10:11,Disconnected
968194423,00100467,10-02-2016 10:22,Disconnected
970906579,00100467,11-02-2016 03:57,Connected
970917119,00100467,11-02-2016 04:01,Connected
970917115,00100467,11-02-2016 04:01,Disconnected
971469679,00100467,11-02-2016 07:30,Connected
971469675,00100467,11-02-2016 07:30,Disconnected
972063399,00100467,11-02-2016 10:36,Disconnected
972983455,00100467,11-02-2016 14:43,Connected
973894939,00100467,11-02-2016 18:26,Disconnected
976199671,00100467,12-02-2016 12:16,Connected
976448975,00100467,12-02-2016 13:27,Disconnected
976474211,00100467,12-02-2016 13:32,Connected
976481923,00100467,12-02-2016 13:34,Connected
976481919,00100467,12-02-2016 13:34,Disconnected
977370143,00100467,12-02-2016 16:36,Disconnected
985354263,00100467,14-02-2016 16:47,Connected
985391831,00100467,14-02-2016 16:58,Disconnected
990843951,00100467,16-02-2016 07:33,Connected
991436347,00100467,16-02-2016 10:36,Disconnected
992014075,00100467,16-02-2016 13:33,Connected
992104167,00100467,16-02-2016 13:56,Disconnected
992209095,00100467,16-02-2016 14:17,Connected
993364823,00100467,16-02-2016 20:06,Disconnected
993365311,00100467,16-02-2016 20:06,Connected
993524891,00100467,16-02-2016 22:25,Connected
993524887,00100467,16-02-2016 22:25,Disconnected
993534839,00100467,16-02-2016 22:30,Disconnected
993537103,00100467,16-02-2016 22:31,Connected
993562059,00100467,16-02-2016 22:53,Disconnected
993563627,00100467,16-02-2016 22:53,Connected
993838267,00100467,17-02-2016 02:16,Disconnected
1000702055,00100467,18-02-2016 17:31,Connected
1000736151,00100467,18-02-2016 17:42,Disconnected
1003943603,00100467,19-02-2016 15:24,Connected
1004194307,00100467,19-02-2016 16:16,Disconnected
1005834171,00100467,20-02-2016 06:15,Connected
1007731479,00100467,20-02-2016 15:06,Disconnected
1017785643,00100467,23-02-2016 08:24,Connected
1018221071,00100467,23-02-2016 10:36,Disconnected
1069825311,00100467,07-03-2016 10:57,Connected
1069836079,00100467,07-03-2016 11:00,Connected
1069836075,00100467,07-03-2016 11:00,Disconnected
1069872523,00100467,07-03-2016 11:11,Disconnected
1072800031,00100467,08-03-2016 06:27,Connected
1072806995,00100467,08-03-2016 06:30,Disconnected
1072810911,00100467,08-03-2016 06:31,Connected
1072847311,00100467,08-03-2016 06:43,Disconnected
1074473663,00100467,08-03-2016 14:35,Connected
1075673243,00100467,08-03-2016 22:30,Disconnected
1075675299,00100467,08-03-2016 22:31,Connected
962866967,001005CC,09-02-2016 01:57,Connected
962877519,001005CC,09-02-2016 02:02,Disconnected
962890771,001005CC,09-02-2016 02:08,Connected
962902003,001005CC,09-02-2016 02:14,Disconnected
962903931,001005CC,09-02-2016 02:14,Connected
962915059,001005CC,09-02-2016 02:19,Disconnected
962916035,001005CC,09-02-2016 02:20,Connected
962928115,001005CC,09-02-2016 02:25,Disconnected
962929231,001005CC,09-02-2016 02:25,Connected
962940851,001005CC,09-02-2016 02:30,Disconnected
962941923,001005CC,09-02-2016 02:31,Connected
962955371,001005CC,09-02-2016 02:36,Disconnected
962956407,001005CC,09-02-2016 02:36,Connected
962968727,001005CC,09-02-2016 02:42,Disconnected
962969703,001005CC,09-02-2016 02:42,Connected
962980495,001005CC,09-02-2016 02:47,Disconnected
962981439,001005CC,09-02-2016 02:47,Connected
962991883,001005CC,09-02-2016 02:53,Disconnected
995840435,001005CC,17-02-2016 13:50,Connected